wavelength,reflectivity,transmissivity,R_plus_T,A,bragg_prediction,normalized_wavelength
736.7346938775511,0.0205470274402142,0.9794529725598116,1.0000000000000258,-2.5757174171303632e-14,No,1.6328339846576931
746.9387755102041,0.22624538617592063,0.773754613824094,1.0000000000000147,-1.4654943925052066e-14,No,1.6554494138080764
757.1428571428571,0.4189752769244222,0.5810247230755855,1.0000000000000078,-7.771561172376096e-15,No,1.67806484295846
767.3469387755101,0.2818553577242947,0.7181446422757141,1.0000000000000089,-8.881784197001252e-15,No,1.7006802721088434
777.5510204081633,0.0024571868556583793,0.9975428131443472,1.0000000000000056,-5.551115123125783e-15,No,1.7232957012592272
787.7551020408164,0.2213908935402147,0.7786091064597924,1.000000000000007,-7.105427357601002e-15,No,1.7459111304096109
797.9591836734694,0.4008246087773232,0.599175391222685,1.0000000000000082,-8.215650382226158e-15,No,1.7685265595599944
808.1632653061224,0.3218009694275528,0.678199030572451,1.0000000000000038,-3.774758283725532e-15,No,1.7911419887103777
818.3673469387754,0.0549264131635413,0.9450735868364694,1.0000000000000107,-1.0658141036401503e-14,No,1.8137574178607612
828.5714285714286,0.08225630503192898,0.9177436949680844,1.0000000000000133,-1.3322676295501878e-14,No,1.836372847011145
838.7755102040817,0.32602136087067346,0.673978639129338,1.0000000000000115,-1.1546319456101628e-14,No,1.8589882761615286
848.9795918367347,0.3893475109270992,0.6106524890729121,1.0000000000000113,-1.1324274851176597e-14,No,1.8816037053119121
859.1836734693877,0.2591381860047182,0.7408618139952874,1.0000000000000056,-5.551115123125783e-15,No,1.9042191344622954
869.3877551020407,0.029374683748008983,0.9706253162520008,1.0000000000000098,-9.769962616701378e-15,No,1.926834563612679
879.5918367346939,0.0785366851756593,0.9214633148243628,1.0000000000000222,-2.220446049250313e-14,No,1.9494499927630626
889.795918367347,0.29515438521326226,0.7048456147867442,1.0000000000000064,-6.439293542825908e-15,No,1.9720654219134464
900.0,0.3820983438664614,0.6179016561335425,1.000000000000004,-3.9968028886505635e-15,No,1.9946808510638299
